,Player,Team,GS,MP,FGA,2PA,3PA,FTA,DRB,TOV,EPTS
490,Coleman Hawkins,Illinois,1.435020697158957,1.4024100681465677,1.117349189208044,0.6055601948395012,1.4279829616402224,0.7985496130271051,1.7223045406230901,1.1162581275355636,12.305702487281431
491,Quincy Guerrier,Illinois,1.643040602597739,0.7370135584672045,0.5817158835225397,0.3856235743737048,0.6434599630192714,0.9940168660504617,1.5335030777691967,0.09243196887104399,9.328333019701978
492,Ty Rodgers,Illinois,1.643040602597739,0.6367483309812733,0.0715889257268211,0.7521846084833657,-0.9255860342226305,0.08183635194146541,0.6524295844510268,0.6774754881079124,6.934433091075207
493,Dain Dainja,Illinois,-0.6451783572288637,-0.4843992127250508,-0.20898090106082412,0.34896747096273867,-0.9255860342226305,0.08183635194146541,0.08602519588934639,-0.3463506705566073,3.3663406108826748
494,Luke Goode,Illinois,-0.36781848331048766,0.345067669204018,0.020576229947249197,-0.8606839415991421,1.2187768286746352,-0.6348769091441744,0.33776047969453765,-0.6388724301750414,4.6684761624741915
495,Justin Harmon,Illinois,-0.8531982626676459,0.2903775451207829,0.04608257783703526,0.019062540264043932,0.06814309736390733,-0.2439424030974618,-0.10277626696454714,-0.20008979074739028,4.578547042932192
496,Dra Gibbs-Lawhorn,Illinois,-0.8531982626676459,-0.8216549779050021,-0.4895507278484693,-0.5307790109004473,-0.24566610208447298,-0.8303441621675307,-0.8579821183801211,-0.6388724301750414,2.0203673121103574
497,Amani Hansberry,Illinois,-0.8531982626676459,-0.7943099158633843,-0.6680951630769707,-0.49412290748948123,-0.61177683477425,-0.8954999131753162,-0.22864390886714278,-1.0776550696026928,1.8887793910480968
498,Niccolo Moretti,Illinois,-0.8531982626676459,-0.9310352260714726,-1.0251840335339737,-0.8973400450101082,-0.820982967739837,-0.5045654071286035,-0.7950482974288233,-0.4926115503658244,1.9491056125528405
499,AJ Redd,Illinois,-0.8531982626676459,-1.2865210326125023,-1.1527157729829034,-1.0073083552430064,-0.9255860342226305,-0.7651884111597452,-1.1097174021853125,-0.9313941897934757,1.4057938451166667
500,Max Williams,Illinois,-0.8531982626676459,-1.3503261773762767,-1.1527157729829034,-1.0439644586539725,-0.8732845009812338,-0.7651884111597452,-1.1097174021853125,-0.9313941897934757,1.3397134374935618
501,KJ Simpson,Colorado,1.712380571077333,1.7305508126459797,2.3161475400279827,2.181772641511043,1.6371890946058094,2.231976135198385,1.974039824428281,1.9938234063908662,18.193554497491952
502,Tristan Da Silva,Colorado,1.5043606656385509,1.6120555437989694,1.8060205822322644,1.4853066767026875,1.5848875613644124,0.9288611150426761,1.3447016149153028,1.4087798871539978,14.495512618827403
503,Cody Williams,Colorado,0.39492116996504667,1.1198444270498518,0.8622857103101847,1.265370056236891,-0.036459969118886104,1.0591726170582472,0.21189283779194187,1.7013016467724318,10.210480325374439
504,J'Vonne Hadley,Colorado,1.643040602597739,1.648515626521127,0.6582349271918974,1.0820895391820606,-0.24566610208447298,1.4501071231049596,1.659370719671792,0.6774754881079124,11.249288844490646
505,Eddie Lampkin,Colorado,1.643040602597739,1.0651543029666166,0.6837412750816834,1.6319310903465518,-0.9255860342226305,1.0591726170582472,1.5964368987204942,2.5788669256277346,11.505852018412194
506,Julian Hammond,Colorado,-0.5064984202696757,0.4544479173704889,0.32665240462468037,0.055718643675010046,0.5911584297778747,-0.37425390511303264,-0.10277626696454714,1.1162581275355636,7.034258807269379
507,Luke O'Brien,Colorado,0.4642611384446407,0.6823234343839694,0.19912066517575072,0.055718643675010046,0.329650763570891,-0.30909815410524716,0.46362812159713346,-0.20008979074739028,5.66271927549585
