,Player,Team,GS,MP,FGA,PTS
400,Aidan Mahaney,Saint Mary's,1.5206579917202476,1.4804256607232569,1.5372590077190165,6.868598481724089
401,Augustas Marciulionis,Saint Mary's,1.1863542347641902,1.2208191317179105,1.1966914219294305,6.231868551849215
402,Mitchell Saxen,Saint Mary's,1.0806395149878858,1.0656197152333589,1.049457003106424,5.760349250157569
403,Joshua Jefferson,Saint Mary's,0.7854384408610828,0.7849296299606338,0.76161224634915,5.09378204276465
404,Alex Ducas,Saint Mary's,0.7027061138032853,0.7350130006825096,0.7065178973816556,4.902887238985137
405,Luke Barrett,Saint Mary's,-0.08717353932640663,-0.12569741025564712,-0.11208461002670128,2.6074247890030295
406,Mason Forbes,Saint Mary's,-0.16111727991181404,-0.16995178685749163,-0.15230060928639552,2.4193664496605436
407,Harry Wessels,Saint Mary's,-0.3727172437434988,-0.3603730714680551,-0.35521251227390305,1.961664960328454
408,Rory Hawke,Saint Mary's,-0.4789349591471718,-0.4487840961397357,-0.4551392847139325,1.7393651465887883
409,Chris Howell,Saint Mary's,-0.8746601693699922,-0.835295058506486,-0.8954322771953177,0.6529074180902756
410,Kevin Gad,Saint Mary's,-0.9554316783857437,-0.9099695460017548,-0.8704553960084708,0.4932174166032066
411,Jordan Ross,Saint Mary's,-0.9047098913593506,-0.9106954501379148,-0.913056304490031,0.4418415934654476
412,Cade Bennett,Saint Mary's,-0.9887093761345221,-0.9903188609581134,-0.9723630871977024,0.3780843715188271
413,PJ Hall,Clemson,2.3235233989473896,2.2788483417761145,2.3404109566547366,9.051891851174464
414,Joseph Girard,Clemson,1.725804369858802,1.7369497414684614,1.6938464778906106,7.523204557724951
415,Chase Hunter,Clemson,1.2861018423326664,1.210042228437404,1.2659468896261994,6.277894438770803
416,Ian Schieffelin,Clemson,0.6679266061379846,0.6924131509236556,0.6816257807816113,4.716648672549091
417,RJ Godfrey,Clemson,-0.060748966724322874,-0.08374470206642193,-0.03877648047643888,2.777851142163034
418,Chauncey Wiggins,Clemson,-0.10529330791843891,-0.09447272452435516,-0.08909777889510394,2.6410895494492195
419,Alex Hemenway,Clemson,-0.1439238334432512,-0.15888582843640772,-0.15696864599867294,2.3687521323289054
420,Jack Clark,Clemson,-0.3064664346969685,-0.2768835070790103,-0.27970501300007405,2.0403794186377056
421,Joshua Beadle,Clemson,-0.57051033286074,-0.5679875699802046,-0.5395294531800072,1.323470008324451
422,Dillon Hunter,Clemson,-0.6978619154018635,-0.6946059155148001,-0.6714495276280441,1.051239995795762
423,Bas Leyte,Clemson,-1.0332157024057647,-1.0241865201607978,-0.9969810179950348,0.24018201910676273
424,Andrew Latiff,Clemson,-1.0609295935954353,-1.034415619255982,-1.0827761722862357,0.04799190829125832
425,Matt Kelly,Clemson,-1.115725907845938,-1.1781587999344527,-1.1848498788192734,-0.11622632938449806
426,Daniel Nauseef,Clemson,-1.1239116631741235,-1.1813765284907092,-1.1058911755647949,-0.26253036680509334
427,Max Abmas,Texas,2.0089640177056016,1.978099746598395,2.000779086465039,8.411021435731513
428,Dylan Disu,Texas,1.7671420054165496,1.763680720716149,1.71277223990194,7.6273153863983305
429,Tyrese Hunter,Texas,0.9317380419370931,0.9709841732678455,0.9512385601259299,5.508269537097378
430,Dillon Mitchell,Texas,0.656691545548845,0.6699346124988559,0.5979123821732244,4.660514479085155
431,Kadin Shedrick,Texas,0.2847252514156999,0.29670110664000976,0.2622893831222993,3.6297395353554913
432,Chendall Weaver,Texas,-0.017651697604506814,0.0049400826132360316,0.036007177251032356,2.9228785959739487
433,Ithiel Horton,Texas,0.007154918407667894,-0.039270093082478745,-0.034333890164416465,2.9151009315653007
434,Brock Cunningham,Texas,-0.3406046969991201,-0.3356940295470975,-0.33276284713518245,1.9408080259903682
435,Ze'Rik Onyema,Texas,-0.5165487113245704,-0.5207096135084477,-0.5193415737884783,1.4450972016635284
